"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Nickel","*","C","Buy","%customer_code_usd%","00006","NI","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1293","2079","1149","04","04","01","02","03","~","~","KL5D","8829","871","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Nickel","*","C","Sell","%customer_code_usd%","00006","NI","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1293","2079","1149","04","04","01","02","03","~","~","KL5D","8809","871","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","GBP","UK Physical","VAT","*","*","%customer_code_gbp%","00005","VAT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","EUR","UK Physical","VAT","*","*","%customer_code_gbp%","00005","VAT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","USD","UK Physical","VAT","*","*","%customer_code_gbp%","00005","VAT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","GBP","UK Physical","Shipping Charges","*","*","%customer_code_gbp%","00005","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRA","4003","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","EUR","UK Physical","Shipping Charges","*","*","%customer_code_eur%","00007","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRAE","4003","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","EUR","UK Physical","Transportation;Shipping Freight","*","*","%customer_code_eur%","00007","FREIGHT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KG2E","6501","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TE","3111","311","3111","338","~","~","TVRE","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","USD","UK Physical","Transportation;Shipping Freight","*","*","%customer_code_usd%","00006","FREIGHT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KG2D","6501","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3111","311","3111","338","~","~","TVRD","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","GBP","UK Physical","Transportation;Shipping Freight","*","*","%customer_code_gbp%","00005","FREIGHT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","KG2","6501","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","T","3111","311","3111","338","~","~","TVR","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","*","USD","UK Physical","Shipping Charges","*","*","%customer_code_usd%","00006","CHARGE","~","~","~","~","~","~","~","~","~","~","~","~","~","~","TRAD","4003","~","~","410","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3111","311","3111","338","~","~","TVRD","3000","~","~","~","~","~","~","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","GL","*","USD","GBP;EUR;USD;ZAR","UK Zinc","*","*","*","%customer_code_usd%","00006","ZN","TRAD","~","4110","~","4110","4101","~","4151","4151","4111","4141","4141","~","~","BSUS","1292","2081","1151","04","04","01","02","03","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Zinc","*","B","Buy","%customer_code_usd%","00006","ZN","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1292","2081","1151","04","04","01","02","03","~","~","KL5D","8871","872","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Zinc","*","B","Sell","%customer_code_usd%","00006","ZN","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1292","2081","1151","04","04","01","02","03","~","~","KL5D","8851","872","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Zinc","*","C","Buy","%customer_code_usd%","00006","ZN","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1292","2081","1151","04","04","01","02","03","~","~","KL5D","8831","871","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM UK","*","SL","*","USD","GBP;EUR;USD;ZAR","UK Zinc","*","C","Sell","%customer_code_usd%","00006","ZN","~","~","~","~","~","~","~","4151","4151","~","4141","4141","~","~","BSUS","1292","2081","1151","04","04","01","02","03","~","~","KL5D","8811","871","~","~","~","~","~","~","~","~","~","~","%region_ext_bu%","TD","3122","311","3122","338","~","~","TVRD","3000","~","~","~","~","1182","20","~","~","~","005","2151","2152","2155","~","~"
"JM PMM US","*","*","*","*","GBP;EUR;USD;ZAR","*","*","*","*","~","716","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Ru","*","*","%party_code_us%","716","RU","~","71602","~","4110","~","~","410","4122","4132","~","~","~","~","~","716","1286","2076","1146","04","104","101","102","103","~","~","PREM","RU","SUB","~","~","Credit","Debit","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","1182","RU","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","USD","*","TSCA","*","*","%party_code_us%","716"," ","~","~","~","~","~","~","~","4122","4132","~","~","~","~","~","716","3194","~","~","312","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Ir","*","*","%party_code_us%","716","IR","~","71602","~","4110","~","~","410","4122","4132","~","~","~","~","~","716","1287","2077","1147","04","104","101","102","103","~","~","PREM","IR","SUB","~","~","Credit","Debit","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","PREM","IR","~","~","~","~","~","~","~","~","~"
"JM PM LTD","*","GL","ZAR","USD","USD","UK FX; SA FX","*","*","*","%customer_code_usd%","00009","USD","RTRAD","~","4120","~","~","4101","~","~","~","~","~","~","~","~","RBSUS","2420","~","~","90305","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PM LTD","*","GL","ZAR","USD","ZAR","UK FX; SA FX","*","*","*","%customer_code_usd%","00008","ZAR","TRAR","~","4105","~","~","4101","~","~","~","~","~","~","~","~","BSRA","2420","~","~","90305","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PM LTD","*","SL","ZAR","USD","ZAR","UK FX; SA FX","*","*","*","%customer_code_usd%","00008","ZAR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","BSRA","2420","90305","90307","~","~","~","~","~","~","~","~"
"JM PMM CN","*","*","*","*","CNY;USD","*","*","*","*","~","CN10","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","*","*","*","GBP;EUR;USD;ZAR","*","*","*","*","~","310","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Rh","*","*","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","RH","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Pd","*","*","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","Interest","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","3101","7510","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","~","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","AP/DP Margin Payment","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","00","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","~","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","Handling Fee","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","~","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","Transportation;Shipping Freight","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","2","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","Shipping Charges;Receipt Charge;Customs;Service","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","1","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","USD","*","Transfer Charge","*","*","%party_code_hk%","310"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","1","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Ru","*","*","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Pt","*","*","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Ir","*","*","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3130","~","~","0","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XAG","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","AG","31019","~","3185","~","~","AG","AG","AG","AG","3186","3187","3188","~","~","310","1280","1287","1286","AG","AG","AG","AG","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XAU","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","AU","31019","~","3185","~","~","AU","AU","AU","AU","3186","3187","3188","~","~","310","1280","1287","1286","AU","AU","AU","AU","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XIR","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","IR","31019","~","3185","~","~","IR","IR","IR","IR","3186","3187","3188","~","~","310","1280","1287","1286","IR","IR","IR","IR","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XOS","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","OS","31019","~","3185","~","~","OS","OS","OS","OS","3186","3187","3188","~","~","310","1280","1287","1286","OS","OS","OS","OS","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XPD","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","PD","31019","~","3185","~","~","PD","PD","PD","PD","3186","3187","3188","~","~","310","1280","1287","1286","PD","PD","PD","PD","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","GL","XPT","USD","GBP;EUR;USD;ZAR","*","*","*","*","%party_code_hk%","310","PT","31019","~","3185","~","~","PT","PT","PT","PT","3186","3187","3188","~","~","310","1280","1287","1286","PT","PT","PT","PT","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XIR","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","IR","IR","IR","IR","IR","~","~","3101","7512","IR","3101","7515","Credit","Debit","7524","IR","Credit","Debit","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XOS","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","OS","OS","OS","OS","OS","~","~","3101","7512","OS","3101","7515","Credit","Debit","7524","OS","Credit","Debit","~","~","~","31013","3110","OS","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPD","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PD","PD","PD","PD","PD","~","~","3101","7512","PD","3101","7515","Credit","Debit","7524","PD","Credit","Debit","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPT","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PT","PT","PT","PT","PT","~","~","3101","7512","PT","3101","7515","Credit","Debit","7524","PT","Credit","Debit","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRH","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RH","RH","RH","RH","RH","~","~","3101","7512","RH","3101","7515","Credit","Debit","7524","RH","Credit","Debit","~","~","~","31013","3110","RH","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRU","USD","GBP;EUR;USD;ZAR","*","*","B","Buy","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RU","RU","RU","RU","RU","~","~","3101","7512","RU","3101","7515","Credit","Debit","7524","RU","Credit","Debit","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XAG","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","AG","AG","AG","AG","AG","~","~","3101","7524","AG","3101","7515","Debit","Credit","7512","AG","Debit","Credit","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XAU","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","AU","AU","AU","AU","AU","~","~","3101","7524","AU","3101","7515","Debit","Credit","7512","AU","Debit","Credit","~","~","~","31014","3110","AU","31014","3120","~","~","31014","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XIR","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","IR","IR","IR","IR","IR","~","~","3101","7524","IR","3101","7515","Debit","Credit","7512","IR","Debit","Credit","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XOS","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","OS","OS","OS","OS","OS","~","~","3101","7524","OS","3101","7515","Debit","Credit","7512","OS","Debit","Credit","~","~","~","31013","3110","OS","31013","3120","3110","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPD","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PD","PD","PD","PD","PD","~","~","3101","7524","PD","3101","7515","Debit","Credit","7512","PD","Debit","Credit","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPT","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PT","PT","PT","PT","PT","~","~","3101","7524","PT","3101","7515","Debit","Credit","7512","PT","Debit","Credit","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRH","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","RH","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RH","RH","RH","RH","RH","~","~","3101","7524","RH","3101","7515","Debit","Credit","7512","RH","Debit","Credit","~","~","~","31013","3110","RH","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XRU","USD","GBP;EUR;USD;ZAR","*","*","B","Sell","%party_code_hk%","310","RU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","RU","RU","RU","RU","RU","~","~","3101","7524","RU","3101","7515","Debit","Credit","7512","RU","Debit","Credit","~","~","~","31013","3110","RU","31013","3120","~","~","31013","3110","00","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XAG","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","AG","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","AG","AG","AG","AG","AG","~","~","3101","7521","AG","3101","7515","Debit","Credit","7511","AG","Debit","Credit","~","~","~","31014","3110","AG","31014","3120","~","~","31014","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XAU","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","AU","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","AU","AU","AU","AU","AU","~","~","3101","7521","AU","3101","7515","Debit","Credit","7511","AU","Debit","Credit","~","~","~","31014","3110","AU","31014","3120","~","~","31014","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XIR","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","IR","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","IR","IR","IR","IR","IR","~","~","3101","7521","IR","3101","7515","Debit","Credit","7511","IR","Debit","Credit","~","~","~","31013","3110","IR","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XOS","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","OS","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","OS","OS","OS","OS","OS","~","~","3101","7521","OS","3101","7515","Debit","Credit","7511","OS","Debit","Credit","~","~","~","31013","3110","OS","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPD","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","PD","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PD","PD","PD","PD","PD","~","~","3101","7521","PD","3101","7515","Debit","Credit","7511","PD","Debit","Credit","~","~","~","31013","3110","PD","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM HK","*","SL","XPT","USD","GBP;EUR;USD;ZAR","*","*","C","Buy","%party_code_hk%","310","PT","~","~","~","~","~","~","~","~","~","~","~","~","~","~","310","1280","1287","1286","PT","PT","PT","PT","PT","~","~","3101","7521","PT","3101","7515","Debit","Credit","7511","PT","Debit","Credit","~","~","~","31013","3110","PT","31013","3120","~","~","31013","3110","~","~","3120","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Rh","*","*","%party_code_us%","716","RH","~","71602","~","4110","~","~","410","4122","4132","~","~","~","~","~","716","1285","2075","1145","04","104","101","102","103","~","~","PREM","RH","SUB","~","~","Credit","Debit","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","1182","RH","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","USD","*","Transportation;Shipping Freight","*","*","%party_code_us%","716"," ","~","~","~","~","~","~","~","4122","4132","~","~","~","~","~","71602","6511","~","~","5101","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","GBP;EUR;USD;ZAR","*","Premium Charge Pt","*","*","%party_code_us%","716","PT","~","71602","~","4110","~","~","410","4122","4132","~","~","~","~","~","716","1283","2073","1143","04","104","101","102","103","~","~","PREM","PT","SUB","~","~","Credit","Debit","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","1182","PT","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","USD","*","Allocation Fee","*","*","%party_code_us%","716"," ","~","~","~","~","~","~","~","4122","4132","~","~","~","~","~","716","3196","~","~","312","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","USD","*","Transfer Charge","*","*","%party_code_us%","716"," ","~","~","~","~","~","~","~","~","~","~","~","~","~","~","716","3193","~","~","312","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
"JM PMM US","*","SL","*","USD","USD","*","Handling Fee","*","*","%party_code_us%","716"," ","~","~","~","~","~","~","~","4122","4132","~","~","~","~","~","716","3110","~","~","312","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","~","716","3130","311","3920","3381","~","~","716","3131","311","~","~","~","~","~","~","~","~","~","~","~","~","~","~"
