o_rule_id,o_scenario_id,mode,ins_type,buy_sell,tran_status,trade_type,event_type,settle_currency,from_currency,to_currency,ext_bu_jm_group,cpy_is_jm_group,int_bu,cflow_type,internal_portfolio,reverse_gl,para_postion,swap_type,o_account_type,o_item_type,o_document_type,o_account_number,o_reversal_code,o_cost_center,o_event_num_grouping,o_doc_ccy_amount,o_doc_ccy_base_amount,o_doc_ccy_base_currency,o_doc_ccy_tax_amount,o_doc_ccy_tax_currency,o_partner_code,o_partner_type,o_partner_code_ccy,o_int_bu_ccy,o_grouping_item,o_value_date,o_grouping_document,o_free_int_col2,o_baseline_date,o_buy_sell_note,o_doc_posting_date
1,SID0001,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XPT,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420003, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
2,SID0001,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XPT,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135200, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
3,SID0002,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XPT,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135200,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
4,SID0002,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XPT,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420003,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
5,SID0003,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XPD,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420004, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
6,SID0003,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XPD,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135300, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
7,SID0004,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XPD,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135300,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
8,SID0004,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XPD,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420004,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
9,SID0005,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XRH,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420006, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
10,SID0005,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XRH,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135400, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
11,SID0006,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XRH,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135400,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
12,SID0006,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XRH,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420006,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
13,SID0007,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XRU,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420007, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
14,SID0007,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XRU,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135500, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
15,SID0008,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XRU,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135500,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
16,SID0008,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XRU,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420007,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
17,SID0009,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XIR,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420005, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
18,SID0009,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY; USD,XIR,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135600, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
19,SID0010,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XIR,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135600,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
20,SID0010,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY; USD,XIR,CNY; USD,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420005,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
21,SID0011,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420008, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
22,SID0011,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135700, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
23,SID0012,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135700,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
24,SID0012,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420008,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
25,SID0013,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420002, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
26,SID0013,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135100, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
27,SID0014,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135100,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
28,SID0014,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420002,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
29,SID0015,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420001, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
30,SID0015,GL,FX,Buy,Validated,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,135000, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
31,SID0016,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,135000,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
32,SID0016,GL,FX,Buy,Cancelled,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420001,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
33,SID0017,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420003, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
34,SID0017,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135200, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
35,SID0018,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135200,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
36,SID0018,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420003,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
37,SID0019,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420004, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
38,SID0019,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135300, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
39,SID0020,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135300,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
40,SID0020,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420004,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
41,SID0021,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420006, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
42,SID0021,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135400, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
43,SID0022,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135400,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
44,SID0022,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420006,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
45,SID0023,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420007, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
46,SID0023,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135500, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
47,SID0024,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135500,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
48,SID0024,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420007,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
49,SID0025,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XIR,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420005, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
50,SID0025,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XIR,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135600, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
51,SID0026,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XIR,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135600,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
52,SID0026,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XIR,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420005,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
53,SID0027,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420008, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
54,SID0027,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135700, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
55,SID0028,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135700,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
56,SID0028,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XOS,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420008,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
57,SID0029,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420002, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
58,SID0029,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135100, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
59,SID0030,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135100,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
60,SID0030,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XAG,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420002,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
61,SID0031,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,420001, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
62,SID0031,GL,FX,Sell,Validated,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,135000, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
63,SID0032,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,135000,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
64,SID0032,GL,FX,Sell,Cancelled,Hedged,Cash Settlement,CNY,XAU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,420001,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_debtor%,Customer,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
65,SID0033,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420003, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
66,SID0033,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,130200, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
67,SID0034,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,130200,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
68,SID0034,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XPT,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420003,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
69,SID0035,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420004, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
70,SID0035,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,130300, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
71,SID0036,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,130300,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
72,SID0036,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XPD,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420004,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
73,SID0037,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420006, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
74,SID0037,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,130400, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
75,SID0038,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,130400,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
76,SID0038,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XRH,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420006,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
77,SID0039,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,SA,420006, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
78,SID0039,GL,FX,Buy,Validated,Unhedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,SA,130500, ,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
79,SID0040,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Debit,AB,130500,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,0,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
80,SID0040,GL,FX,Buy,Cancelled,Unhedged,Cash Settlement,CNY,XRU,CNY,*,*,JM PMM CN,*,*,*,*,*,GeneralLedger,Credit,AB,420006,Z2,109999,%event_num%,%settle_amount%, , , , ,%party_code_cn_creditor%,Vendor,*,*,1,%metal_value_date%,0,0,%metal_value_date%,%buy_sell%,*
