9,"SID0005","GL","FX","Buy","Validated","Hedged","Cash Settlement","CNY; USD","XRH","CNY; USD","*","*","*","*","GeneralLedger","Debit","SA","420006"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
10,"SID0005","GL","FX","Buy","Validated","Hedged","Cash Settlement","CNY; USD","XRH","CNY; USD","*","*","*","*","GeneralLedger","Credit","SA","135400"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
11,"SID0006","GL","FX","Buy","Cancelled","Hedged","Cash Settlement","CNY; USD","XRH","CNY; USD","*","*","*","*","GeneralLedger","Debit","AB","135400","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
12,"SID0006","GL","FX","Buy","Cancelled","Hedged","Cash Settlement","CNY; USD","XRH","CNY; USD","*","*","*","*","GeneralLedger","Credit","AB","420006","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
13,"SID0007","GL","FX","Buy","Validated","Hedged","Cash Settlement","CNY; USD","XRU","CNY; USD","*","*","*","*","GeneralLedger","Debit","SA","420007"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
14,"SID0007","GL","FX","Buy","Validated","Hedged","Cash Settlement","CNY; USD","XRU","CNY; USD","*","*","*","*","GeneralLedger","Credit","SA","135500"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
15,"SID0008","GL","FX","Buy","Cancelled","Hedged","Cash Settlement","CNY; USD","XRU","CNY; USD","*","*","*","*","GeneralLedger","Debit","AB","135500","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_creditor%","Vendor",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
55,"SID0028","GL","FX","Sell","Cancelled","Hedged","Cash Settlement","CNY","XOS","CNY","*","*","*","*","GeneralLedger","Credit","AB","135700","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
56,"SID0028","GL","FX","Sell","Cancelled","Hedged","Cash Settlement","CNY","XOS","CNY","*","*","*","*","GeneralLedger","Debit","AB","420008","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
57,"SID0029","GL","FX","Sell","Validated","Hedged","Cash Settlement","CNY","XAG","CNY","*","*","*","*","GeneralLedger","Credit","SA","420002"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
58,"SID0029","GL","FX","Sell","Validated","Hedged","Cash Settlement","CNY","XAG","CNY","*","*","*","*","GeneralLedger","Debit","SA","135100"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
59,"SID0030","GL","FX","Sell","Cancelled","Hedged","Cash Settlement","CNY","XAG","CNY","*","*","*","*","GeneralLedger","Credit","AB","135100","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
60,"SID0030","GL","FX","Sell","Cancelled","Hedged","Cash Settlement","CNY","XAG","CNY","*","*","*","*","GeneralLedger","Debit","AB","420002","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
61,"SID0031","GL","FX","Sell","Validated","Hedged","Cash Settlement","CNY","XAU","CNY","*","*","*","*","GeneralLedger","Credit","SA","420001"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
62,"SID0031","GL","FX","Sell","Validated","Hedged","Cash Settlement","CNY","XAU","CNY","*","*","*","*","GeneralLedger","Debit","SA","135000"," ","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",0,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
63,"SID0032","GL","FX","Sell","Cancelled","Hedged","Cash Settlement","CNY","XAU","CNY","*","*","*","*","GeneralLedger","Credit","AB","135000","Z2","109999","%event_num%","%settle_amount%"," "," "," "," ","%party_code_cn_debtor%","Customer",1,"%metal_value_date%",0,0,"%metal_value_date%","%buy_sell%"
