"L020.01 PMM Customer Metal UK","Liquidity"
"L020.02 PMM Customer Metal US","Liquidity"
"L020.03 PMM Customer Metal HK","Liquidity"
"L020.04 PMM Customer Metal CN","Liquidity"
"L135.14 HSBC London (PMM UK)","Lease"
"L135.15 HSBC ZUR (PMM UK)","Lease"
